"","species","run","run.env","time","pop","thinned"
"5794","4",194,0.27433908715877,0,51,0
"5795","5",194,0.27433908715877,0,0,0
"5796","6",194,0.27433908715877,0,0,0
"5797","7",194,0.27433908715877,0,0,0
"5798","8",194,0.27433908715877,0,156,0
"5799","9",194,0.27433908715877,0,0,0
"5800","10",194,0.27433908715877,0,24,0
"5801","11",194,0.27433908715877,0,0,0
"5802","12",194,0.27433908715877,0,13,0
"5803","13",194,0.27433908715877,0,0,0
"5804","14",194,0.27433908715877,0,27,0
"5805","15",194,0.27433908715877,0,0,0
"5806","1",194,0.27433908715877,1,75,0
"5807","2",194,0.27433908715877,1,0,0
"5808","3",194,0.27433908715877,1,0,0
"5809","4",194,0.27433908715877,1,57,0
"5810","5",194,0.27433908715877,1,0,0
"5811","6",194,0.27433908715877,1,0,0
"5812","7",194,0.27433908715877,1,0,0
"5813","8",194,0.27433908715877,1,99,0
"5814","9",194,0.27433908715877,1,0,0
"5815","10",194,0.27433908715877,1,16,0
"5816","11",194,0.27433908715877,1,0,0
"5817","12",194,0.27433908715877,1,16,0
"5818","13",194,0.27433908715877,1,0,0
"5819","14",194,0.27433908715877,1,24,0
"5820","15",194,0.27433908715877,1,0,0
"5821","1",195,-0.970401124112666,0,50,0
"5822","2",195,-0.970401124112666,0,0,0
"5823","3",195,-0.970401124112666,0,0,0
"5824","4",195,-0.970401124112666,0,98,0
"5825","5",195,-0.970401124112666,0,0,0
"5826","6",195,-0.970401124112666,0,0,0
"5827","7",195,-0.970401124112666,0,47,0
"5828","8",195,-0.970401124112666,0,0,0
"5829","9",195,-0.970401124112666,0,6,0
"5830","10",195,-0.970401124112666,0,0,0
"5831","11",195,-0.970401124112666,0,0,0
"5832","12",195,-0.970401124112666,0,29,0
"5833","13",195,-0.970401124112666,0,0,0
"5834","14",195,-0.970401124112666,0,28,0
"5835","15",195,-0.970401124112666,0,0,0
"5836","1",195,-0.970401124112666,1,90,0
"5837","2",195,-0.970401124112666,1,0,0
"5838","3",195,-0.970401124112666,1,0,0
"5839","4",195,-0.970401124112666,1,81,0
"5840","5",195,-0.970401124112666,1,0,0
"5841","6",195,-0.970401124112666,1,0,0
"5842","7",195,-0.970401124112666,1,50,0
"5843","8",195,-0.970401124112666,1,0,0
"5844","9",195,-0.970401124112666,1,11,0
"5845","10",195,-0.970401124112666,1,0,0
"5846","11",195,-0.970401124112666,1,0,0
"5847","12",195,-0.970401124112666,1,39,0
"5848","13",195,-0.970401124112666,1,0,0
"5849","14",195,-0.970401124112666,1,51,0
"5850","15",195,-0.970401124112666,1,0,0
"5851","1",196,-0.474005186236798,0,0,0
"5852","2",196,-0.474005186236798,0,14,0
"5853","3",196,-0.474005186236798,0,14,0
"5854","4",196,-0.474005186236798,0,20,0
"5855","5",196,-0.474005186236798,0,0,0
"5856","6",196,-0.474005186236798,0,0,0
"5857","7",196,-0.474005186236798,0,0,0
"5858","8",196,-0.474005186236798,0,50,0
"5859","9",196,-0.474005186236798,0,0,0
"5860","10",196,-0.474005186236798,0,39,0
"5861","11",196,-0.474005186236798,0,0,0
"5862","12",196,-0.474005186236798,0,48,0
"5863","13",196,-0.474005186236798,0,0,0
"5864","14",196,-0.474005186236798,0,164,0
"5865","15",196,-0.474005186236798,0,0,0
"5866","1",196,-0.474005186236798,1,0,0
"5867","2",196,-0.474005186236798,1,28,0
"5868","3",196,-0.474005186236798,1,19,0
"5869","4",196,-0.474005186236798,1,43,0
"5870","5",196,-0.474005186236798,1,0,0
"5871","6",196,-0.474005186236798,1,0,0
"5872","7",196,-0.474005186236798,1,0,0
"5873","8",196,-0.474005186236798,1,64,0
"5874","9",196,-0.474005186236798,1,0,0
"5875","10",196,-0.474005186236798,1,40,0
"5876","11",196,-0.474005186236798,1,0,0
"5877","12",196,-0.474005186236798,1,43,0
"5878","13",196,-0.474005186236798,1,0,0
"5879","14",196,-0.474005186236798,1,110,0
"5880","15",196,-0.474005186236798,1,0,0
"5881","1",197,1.16167692012786,0,21,0
"5882","2",197,1.16167692012786,0,0,0
"5883","3",197,1.16167692012786,0,6,0
"5884","4",197,1.16167692012786,0,7,0
"5885","5",197,1.16167692012786,0,0,0
"5886","6",197,1.16167692012786,0,0,0
"5887","7",197,1.16167692012786,0,3,0
"5888","8",197,1.16167692012786,0,74,0
"5889","9",197,1.16167692012786,0,0,0
"5890","10",197,1.16167692012786,0,0,0
"5891","11",197,1.16167692012786,0,0,0
"5892","12",197,1.16167692012786,0,8,0
"5893","13",197,1.16167692012786,0,0,0
"5894","14",197,1.16167692012786,0,52,0
"5895","15",197,1.16167692012786,0,0,0
"5896","1",197,1.16167692012786,1,38,0
"5897","2",197,1.16167692012786,1,0,0
"5898","3",197,1.16167692012786,1,7,0
"5899","4",197,1.16167692012786,1,17,0
"5900","5",197,1.16167692012786,1,0,0
"5901","6",197,1.16167692012786,1,0,0
"5902","7",197,1.16167692012786,1,3,0
"5903","8",197,1.16167692012786,1,74,0
"5904","9",197,1.16167692012786,1,0,0
"5905","10",197,1.16167692012786,1,0,0
"5906","11",197,1.16167692012786,1,0,0
"5907","12",197,1.16167692012786,1,4,0
"5908","13",197,1.16167692012786,1,0,0
"5909","14",197,1.16167692012786,1,77,0
"5910","15",197,1.16167692012786,1,0,0
"5911","1",198,-0.236704595946974,0,176,0
"5912","2",198,-0.236704595946974,0,0,0
"5913","3",198,-0.236704595946974,0,4,0
"5914","4",198,-0.236704595946974,0,99,0
"5915","5",198,-0.236704595946974,0,0,0
"5916","6",198,-0.236704595946974,0,0,0
"5917","7",198,-0.236704595946974,0,8,0
"5918","8",198,-0.236704595946974,0,162,0
"5919","9",198,-0.236704595946974,0,0,0
"5920","10",198,-0.236704595946974,0,18,0
"5921","11",198,-0.236704595946974,0,0,0
"5922","12",198,-0.236704595946974,0,0,0
"5923","13",198,-0.236704595946974,0,0,0
"5924","14",198,-0.236704595946974,0,82,0
